originl query	freq	CPP detector and converter				JS detector and converter							
		p(Zawgyi)	converted	orig == converted	class	p(Zawgyi)	converted	orig == converted	class	class equal? 	JS conv == Cpp conv		
သစ္ထူးလြင္ ေန႔စဥ္သတင္း	347	1	သစ်ထူးလွင် နေ့စဉ်သတင်း	diff	Z	1	သစ်ထူးလွင် နေ့စဥ်သတင်း	diff					
အား ေသျပီ	169	1	အား သေပြီ	diff	Z	0.9999998136	အား သြေပီ	diff					
ေနတိုး အိျႏၵာေက်ာ္ဇင္	166	1	နေတိုး အိနြ္ဒာကျော်ဇင်	diff	Z	1	နေတိုး အိန္ဒြာကျော်ဇင်	diff					
အား ​ေသျပီ	42	1	အား ​သေပြီ	diff	Z	0.9999936544	အား ​သြေပီ	diff					
လူမင္း အိျႏၵာေက်ာ္ဇင္	41	1	လူမင်း အိနြ္ဒာကျော်ဇင်	diff	Z	1	လူမင်း အိန္ဒြာကျော်ဇင်	diff					
ဆိုေတး အေ၀းေရာက္ခ်စ္သူ	36	1	ဆိုတေး အဝေးရောက်ချစ်သူ	diff	Z	1	ဆိုတေး အေဝးရောက်ချစ်သူ	diff					
ဥပါယ္တံမ်ဥ္	35	1	ဥပါယ်တံမျဉ်	diff	Z	1	ဥပါယ်တံမျဥ်	diff					
အိျႏၵာေက်ာ္ဇင္ photo	34	1	အိနြ္ဒာကျော်ဇင် photo	diff	Z	1	အိန္ဒြာကျော်ဇင် photo	diff					
အိျႏၵာေက်ာ္ဇင္ ေျပတီဦး	27	1	အိနြ္ဒာကျော်ဇင် ပြေတီဦး	diff	Z	1	အိန္ဒြာကျော်ဇင် ပြေတီဦး	diff					
အိုး ေတာင္ ့ ေတာင္ ့	25	1	အိုး တောင့် တောင့်	diff	Z	1	အိုး တောင့်  တောင့်	diff					
ျမန္မာသံစဥ္	25	1	မြန်မာသံစဉ်	diff	Z	1	မြန်မာသံစဥ်	diff					
ဝိညာဥ္စိမ္း	24	0.9997	ဝိညာဉ်စိမ်း	diff	Z	0.9999999606	ဝိညာဥ်စိမ်း	diff					
အခ်စ္လို ့ေခၚသလား	23	1	အချစ်လို့ခေါ်သလား	diff	Z	1	အချစ်လို့ ခေါ်သလား	diff					
အား အား ေသျပီ	22	1	အား အား သေပြီ	diff	Z	0.9999999518	အား အား သြေပီ	diff					
နန္းေဝေဝျမင့္	19	1	နန်းဝေဝေမြင့်	diff	Z	1	နန်းဝေဝြေမင့်	diff					
ဗြီဒီယုိပြင့္ျပီးကူးယူလို့မရလုိ့.facebook.ကူညီေပးပါ	17	1	ဗွီဒီယိုပွင့်ပြီးကူးယူလို့မရလို့.facebook.ကူည���ပေးပါ	diff	Z	1	ဗွီဒီယိုပွင့်ပြီးကူးယူလို့မရလို့.facebook.ကူညီပေးပါ	diff					
ေဗဒင္ကိုအရမ္းစိတ္ဝင္စားလို႕မဟာဘုတ္အေဟာသက္ေရာက္ေတြကဗ်ာေလးေတြကိုအသက္ဆယ္ႏွစ္ေလာက္ကတိုင္းေလ့လာခဲေပမယ္႔တိတိက်က်ဆရာသမားႏွင္႔သင္ျကားခြင္႕မရခဲ႕ဘူး ယခုလည္းဖုန္းလမ္းညြန္ကအဂၤလိပ္လို��တြ	16	1	ဗေဒင်ကိုအရမ်းစိတ်ဝင်စားလို့မဟာဘုတ်အဟောသက်ရောက်တွေကဗျာလေးတွေကိုအသက်ဆယ်နှစ်လောက်ကတ��ုင်းလေ့လာခဲပေမယ့်တိတိကျကျဆရာသမားနှင့်သင်ကြားခွင့်မရခဲ့ဘူး ယခုလည်းဖုန်းလမ်းညွန်ကအင်္ဂလ���ပ်လိုတွေ	diff	Z	1	ဗေဒင်ကိုအရမ်းစိတ်ဝင်စားလို့မဟာဘုတ်အဟောသက်ရောက်တွေကဗျာလေးတွေကိုအသက်ဆယ်နှစ်လောက်ကတိုင်းလေ့လာခဲပေမယ့်တိတိကျကျဆရာသမားနှင့်သင်ကြားခွင့်မရခဲ့ဘူး ယခုလည်းဖုန်းလမ်းညွန်ကအင်္ဂလိပ်လို��တွ	diff					
(╯°□°)╯( ┻━┻✦尹૨͍ø✦ไၕ៨ɛℵ໓ຮ↯.✦ไၕ៨ɛℵ໓ຮ↯.玄尹ɪ᪲ⴀ૮ℓαɳSʑʌ֟፝ʀ✧╔═🌟◁▓☆▓▷▓尹ɪ᪲ø▓🇷ၕ❌『🇦🇷』 ═╗ ðၕส৳ჩ💀ᜰҩ৳ၕ『ৣۜ͜͡➣օʍɛɢǟ』	15	0.834	(╯°□°)╯( ┻━┻✦尹૨͍ø✦ไၕ៨ɛℵ໓ຮ↯.✦ไၕ៨ɛℵ໓ຮ↯.玄尹ɪ᪲ⴀ૮ℓαɳSʑʌ֟፝ʀ✧╔═🌟◁▓☆▓▷▓尹ɪ᪲ø▓🇷ၕ❌『🇦🇷』 ═╗ ðၕส৳ჩ💀ᜰҩ৳ၕ『���ۜ͜͡➣օʍɛɢǟ』	same	I	0.9999085378	(╯°□°)╯( ┻━┻✦尹૨͍ø✦ไၕ៨ɛℵ໓ຮ↯.✦ไၕ៨ɛℵ໓ຮ↯.玄尹ɪ᪲ⴀ૮ℓαɳSʑʌ֟፝ʀ✧╔═🌟◁▓☆▓▷▓尹ɪ᪲ø▓🇷ၕ❌『🇦🇷』 ═╗ ðၕส৳ჩ💀ᜰҩ৳ၕ『ৣۜ͜͡➣օʍɛɢǟ』	same					
ေမျမတ္မြန္ photos	15	1	မေမြတ်မွန် photos	diff	Z	0.9999999998	မြေမတ်မွန် photos	diff					
xnxx ့com	15	0.9393	xnxx့com	diff	I	0.9753941101	xnxx့ com	diff					
ေ၀လ	15	0.9911	ဝေလ	diff	Z	0.9976689635	ေဝလ	diff					
၀န	14	0.7935	၀န	same	I	0.7707039381	ဝန	diff					
ေလျဖဴ	14	0.9998	လေဖြူ	diff	Z	0.9999999999	လြေဖူ	diff					
ထက္ေနျခည္	13	1	ထက်နေခြည်	diff	Z	1	ထက်နြေခည်	diff					
ျမန္​မာသံစဥ္​သီခ်င္​းမ်ား	13	1	မြန်​မာသံစဉ်​သီချင်းများ	diff	Z	1	မြန်​မာသံစဥ်​သီချင်းများ	diff					
သိုင္းစာစဥ္မ်ား	13	1	သိုင်းစာစဉ်များ	diff	Z	1	သိုင်းစာစဥ်များ	diff					
သစ္ထူးလြင္ ေန႔စဥ္သတင္းမ်ား	13	1	သစ်ထူးလွင် နေ့စဉ်သတင်းများ	diff	Z	1	သစ်ထူးလွင် နေ့စဥ်သတင်းများ	diff					
ဥပါယ္တံမ်ဥ္ full movie	12	1	ဥပါယ်တံမျဉ် full movie	diff	Z	1	ဥပါယ်တံမျဥ် full movie	diff					
ယဥ္လတ္	12	1	ယဉ်လတ်	diff	Z	0.9999999995	ယဥ်လတ်	diff					
