Comparison	Zawgyi test	test conversion	cwc conversion
DIFFERENT	source zawgyi	converted unicode	source zawgyi
DIFFERENT	ေတာင္းဆိုမႈကို လုပ္ေဆာင္ေနသည္… 	တောင်းဆိုမှုကို လုပ်ဆောင်နေသည်… 	ေတာင္းဆိုမႈကို လုပ္ေဆာင္ေနသည္… 
DIFFERENT	သင္၏ အေရာင္းအ၀ယ္လံုျခံဳေရးကို ကာကြယ္ေပးရန္အတြက္ ေငြေပးသြင္းျခင္းမျပဳလုပ္မီ HuaweiPay အား ထည့္သြင္းပါ။ 	သင်၏ အရောင်းအဝယ်လုံခြုံရေးကို ကာကွယ်ပေးရန်အတွက် ငွေပေးသွင်းခြင်းမပြုလုပ်မီ HuaweiPay အား ထည့်သွင်းပါ။ 	သင္၏ အေရာင္းအ၀ယ္လံုျခံဳေရးကို ကာကြယ္ေပးရန္အတြက္ ေငြေပးသြင္းျခင္းမျပဳလုပ္မီ HuaweiPay အား ထည့္သြင္းပါ။ 
DIFFERENT	အသစ္မြမ္းမံမႈ အထုပ္တြဲမွာ %1$s ျဖစ္ျပီး ႐ုပ္ပုံ %2$d ပုံ ပါဝင္ သင္သိမ္းမထားခဲ့ေသာ ႐ုပ္ပုံမ်ားသည္ အသစ္မြမ္းမံမႈျပီးေနာက္ ဆက္လက္ျပသေတာ့မည္ မဟုတ္ 	အသစ်မွမ်းမံမှု အထုပ်တွဲမှာ %1$s ဖြစ်ပြီး ရုပ်ပုံ %2$d ပုံ ပါဝင် သင်သိမ်းမထားခဲ့သော ရုပ်ပုံများသည် အသစ်မွမ်းမံမှုပြီးနောက် ဆက်လက်ပြသတော့မည် မဟုတ် 	အသစ္မြမ္းမံမႈ အထုပ္တြဲမွာ %1$s ျဖစ္ျပီး ႐ုပ္ပုံ %2$d ပုံ ပါဝင္ သင္သိမ္းမထားခဲ့ေသာ ႐ုပ္ပုံမ်ားသည္ အသစ္မြမ္းမံမႈျပီးေနာက္ ဆက္လက္ျပသေတာ့မည္ မဟုတ္ 
DIFFERENT	ကြ်ႏ္ုပ္၏ အေကာင့္ 	ကျွန်ုပ်၏ အကောင့် 	ကြ်ႏ္ုပ္၏ အေကာင့္ 
DIFFERENT	ႏႈိးစက္အသံ 	နှိုးစက်အသံ 	ႏႈိးစက္အသံ 
DIFFERENT	စာလံုးပံုစံ တပ္ဆင္မည္ 	စာလုံးပုံစံ တပ်ဆင်မည် 	စာလံုးပံုစံ တပ္ဆင္မည္ 
DIFFERENT	သင္းမ္မ်ားသည္ သင္ယခုေရာက္ရိွေနေသာ တည္ေနရာ သတင္းခ်က္အလက္မ်ားကို စုေဆာင္းျခင္းျဖင့္ ေနာက္ထပ္အပို ဝန္ေဆာင္မႈမ်ားကို ေထာက္ပံေပးႏိုင္သည္။ သင့္တည္ေနရာကို ၀င္ေရာက္ခြင့္ျပဳမလား။ 	သင်းမ်များသည် သင်ယခုရောက်ရှိနေသော တည်နေရာ သတင်းချက်အလက်များကို စုဆောင်းခြင်းဖြင့် နောက်ထပ်အပို ဝန်ဆောင်မှုများကို ထောက်ပံပေးနိုင်သည်။ သင့်တည်နေရာကို ၀င်ရောက်ခွင့်ပြုမလား။ 	သင္းမ္မ်ားသည္ သင္ယခုေရာက္ရိွေနေသာ တည္ေနရာ သတင္းခ်က္အလက္မ်ားကို စုေဆာင္းျခင္းျဖင့္ ေနာက္ထပ္အပို ဝန္ေဆာင္မႈမ်ားကို ေထာက္ပံေပးႏိုင္သည္။ သင့္တည္ေနရာကို ၀င္ေရာက္ခြင့္ျပဳမလား။ 
DIFFERENT	မွတ္ဥာဏ္ကတ္ ဖယ္ရွားလိုက္ပါၿပီ 	မှတ်ဉာဏ်ကတ် ဖယ်ရှားလိုက်ပါပြီ 	မွတ္ဥာဏ္ကတ္ ဖယ္ရွားလိုက္ပါၿပီ 
DIFFERENT	သင္တစ္ေန႕လွ်င္ ပံုစံစတုိင္ တစ္ခုကိုသာ ေ၀ဖန္ႏုိင္သည္။ 	သင်တစ်နေ့လျှင် ပုံစံစတိုင် တစ်ခုကိုသာ ဝေဖန်နိုင်သည်။ 	သင္တစ္ေန႕လွ်င္ ပံုစံစတုိင္ တစ္ခုကိုသာ ေ၀ဖန္ႏုိင္သည္။ 
